CustomerID,Recency,Frequency,Monetary,Monetary_log,Frequency_log,Cluster,PC1,PC2
12346,326,1,77183.6,11.253955234248428,0.6931471805599453,1,0.552619795503,3.1489839003142035
12347,2,7,4310.0,8.368925174747135,2.0794415416798357,3,1.97504011869747,0.070224443185488
12348,75,4,1797.24,7.494563687769957,1.6094379124341003,1,0.7658438785626466,0.2353984215946574
12349,19,1,1757.55,7.472244884833674,0.6931471805599453,1,0.18910921548952817,-0.6705148899368754
12350,310,1,334.4,5.815323849389109,0.6931471805599453,2,-2.0272017311924313,1.3751222815010915
12352,36,8,2506.04,7.826858053356098,2.1972245773362196,3,1.653367200396888,0.2572057707879071
12353,204,1,89.0,4.499809670330265,0.6931471805599453,2,-2.157490336302141,0.0534002051097836
12354,232,1,1079.4,6.985086621918461,0.6931471805599453,2,-1.0786108168115516,1.0448227323309816
12355,214,1,459.4,6.132095676847728,0.6931471805599453,2,-1.4083419410204057,0.631217990640733
12356,23,3,2811.43,7.941804157314053,1.3862943611198906,1,1.0320129249570387,-0.18451518373678194
12357,33,1,6207.67,8.733701981297274,0.6931471805599453,1,0.7377432520899625,-0.16914964569370036
12358,2,2,1168.06,7.063955286074528,1.0986122886681096,1,0.44199295618135775,-0.7604549575956033
12359,58,4,6372.58,8.759916600117213,1.6094379124341003,1,1.4662448369579986,0.4669821547476675
12360,52,3,2662.06,7.887231116540211,1.3862943611198906,1,0.8651550756210192,0.052559780485995716
12361,287,1,189.9,5.251749730731702,0.6931471805599453,2,-2.191359965089059,1.00476975358438
12362,3,10,5226.23,8.56163678004062,2.3978952727983707,3,2.355100203009515,0.27927012197713474
12363,110,2,552.0,6.315358001522335,1.0986122886681096,0,-0.44585694034211254,-0.041406285756742066
12364,8,4,1313.1,7.180907299649593,1.6094379124341003,1,0.9364983179739831,-0.44444432949615276
12365,291,2,641.38,6.465180028897591,1.0986122886681096,2,-1.247667530432896,1.585617181165177
12367,4,1,168.9,5.135210028677887,0.6931471805599453,0,-0.880189160779952,-1.5037736325002267
12370,51,4,3545.69,8.173770053153254,1.6094379124341003,1,1.213709397106673,0.22969401972248812
12371,45,2,1887.96,7.543781692052325,1.0986122886681096,1,0.4685481398186524,-0.2404563630200674
12372,72,3,1298.04,7.169380809114136,1.3862943611198906,1,0.4177463858809148,0.011692214252856398
12373,311,1,364.6,5.901539839579995,0.6931471805599453,2,-1.9899132020272512,1.4097659238614801
